age,education,occupation,hours-per-week,income
25,Some-college,Prof-specialty,45,<=50K
18,HS-grad,Sales,20,<=50K
24,Some-college,Sales,45,<=50K
49,Masters,Prof-specialty,36,>50K
60,Masters,Prof-specialty,62,>50K
47,HS-grad,Exec-managerial,40,>50K
38,Some-college,Sales,20,<=50K
60,5th-6th,Machine-op-inspct,18,<=50K
36,HS-grad,Craft-repair,50,<=50K
34,Assoc-acdm,Exec-managerial,84,>50K
25,Preschool,Priv-house-serv,40,>50K
47,HS-grad,Exec-managerial,40,>50K
75,7th-8th,Transport-moving,14,<=50K
35,Assoc-voc,Exec-managerial,38,<=50K
63,Some-college,Sales,59,<=50K
20,11th,Handlers-cleaners,40,<=50K
34,Bachelors,Machine-op-inspct,40,>50K
38,Bachelors,Prof-specialty,34,>50K
36,Bachelors,Exec-managerial,45,<=50K
34,HS-grad,Machine-op-inspct,59,>50K
61,5th-6th,Farming-fishing,31,<=50K
36,HS-grad,Craft-repair,40,<=50K
68,Bachelors,Prof-specialty,40,<=50K
27,Assoc-voc,Tech-support,38,<=50K
60,Prof-school,Prof-specialty,57,<=50K
35,Assoc-acdm,Craft-repair,40,<=50K
23,HS-grad,Machine-op-inspct,33,<=50K
32,HS-grad,Sales,50,<=50K
20,Bachelors,Prof-specialty,40,<=50K
59,Doctorate,Prof-specialty,62,>50K
24,Some-college,Tech-support,57,<=50K
39,11th,Craft-repair,40,<=50K
39,5th-6th,Farming-fishing,40,<=50K
26,HS-grad,Armed-Forces,22,<=50K
41,HS-grad,Craft-repair,40,<=50K
20,Some-college,Adm-clerical,20,<=50K
36,Assoc-voc,Farming-fishing,40,<=50K
41,Doctorate,Exec-managerial,50,>50K
70,Prof-school,Prof-specialty,40,>50K
58,11th,Farming-fishing,60,<=50K
23,HS-grad,Sales,40,<=50K
29,Assoc-acdm,Prof-specialty,32,>50K
21,11th,Transport-moving,20,<=50K
29,HS-grad,Exec-managerial,40,>50K
53,Bachelors,Exec-managerial,40,>50K
62,Masters,Exec-managerial,40,>50K
34,9th,Craft-repair,40,<=50K
38,HS-grad,Transport-moving,50,<=50K
31,HS-grad,Exec-managerial,40,>50K
67,Masters,Exec-managerial,60,>50K
23,5th-6th,Machine-op-inspct,39,<=50K
44,HS-grad,Machine-op-inspct,40,<=50K
18,HS-grad,Craft-repair,40,<=50K
51,Bachelors,Prof-specialty,40,>50K
47,Masters,Prof-specialty,38,<=50K
48,HS-grad,Craft-repair,40,<=50K
27,5th-6th,Handlers-cleaners,40,<=50K
36,HS-grad,Tech-support,40,<=50K
58,HS-grad,Adm-clerical,40,>50K
49,HS-grad,Craft-repair,40,<=50K
49,HS-grad,Exec-managerial,40,>50K
34,Assoc-acdm,Prof-specialty,34,>50K
35,HS-grad,Craft-repair,57,<=50K
28,HS-grad,Other-service,33,<=50K
55,Some-college,Tech-support,40,<=50K
45,Prof-school,Prof-specialty,52,<=50K
20,9th,Transport-moving,11,<=50K
36,HS-grad,Farming-fishing,45,<=50K
41,Some-college,Farming-fishing,40,<=50K
80,9th,Craft-repair,40,<=50K
28,Some-college,Protective-serv,31,<=50K
70,9th,Craft-repair,40,<=50K
19,Some-college,Machine-op-inspct,30,<=50K
40,Bachelors,Exec-managerial,50,<=50K
33,Doctorate,Prof-specialty,56,>50K
19,Assoc-acdm,Other-service,40,<=50K
51,HS-grad,Priv-house-serv,58,<=50K
25,Some-college,Craft-repair,40,<=50K
32,Masters,Exec-managerial,40,>50K
60,HS-grad,Other-service,40,<=50K
53,HS-grad,Farming-fishing,50,<=50K
41,Assoc-acdm,Prof-specialty,78,<=50K
55,Bachelors,Exec-managerial,40,>50K
50,Some-college,Protective-serv,27,<=50K
47,HS-grad,Craft-repair,40,<=50K
20,9th,Transport-moving,21,<=50K
31,Some-college,Protective-serv,41,<=50K
54,Masters,Exec-managerial,49,>50K
34,Bachelors,Sales,45,>50K
21,HS-grad,Machine-op-inspct,40,<=50K
40,HS-grad,Craft-repair,40,<=50K
47,Some-college,Farming-fishing,45,<=50K
52,HS-grad,Exec-managerial,40,>50K
37,Some-college,Protective-serv,40,<=50K
58,Some-college,Prof-specialty,40,<=50K
45,10th,Machine-op-inspct,31,<=50K
33,Assoc-acdm,Exec-managerial,47,>50K
26,9th,Transport-moving,40,<=50K
38,Bachelors,Craft-repair,56,<=50K
20,Bachelors,Prof-specialty,36,<=50K
68,HS-grad,Adm-clerical,40,>50K
23,HS-grad,Sales,40,<=50K
27,Masters,Prof-specialty,37,>50K
25,HS-grad,Transport-moving,57,<=50K
22,Bachelors,Craft-repair,40,<=50K
28,Masters,Exec-managerial,56,<=50K
30,HS-grad,Machine-op-inspct,60,<=50K
30,Bachelors,Adm-clerical,45,<=50K
32,HS-grad,Armed-Forces,40,<=50K
27,Assoc-acdm,Other-service,36,<=50K
50,HS-grad,Craft-repair,50,>50K
50,11th,Transport-moving,30,>50K
20,11th,Handlers-cleaners,58,<=50K
38,7th-8th,Other-service,40,<=50K
41,10th,Priv-house-serv,41,<=50K
33,Bachelors,Prof-specialty,36,<=50K
37,12th,Transport-moving,40,<=50K
18,Some-college,Adm-clerical,43,<=50K
38,Preschool,Farming-fishing,40,<=50K
62,Some-college,Tech-support,37,<=50K
45,Some-college,Prof-specialty,39,<=50K
46,9th,Craft-repair,40,>50K
43,Assoc-voc,Farming-fishing,61,<=50K
31,7th-8th,Exec-managerial,45,<=50K
25,Some-college,Transport-moving,40,<=50K
53,HS-grad,Transport-moving,87,<=50K
44,7th-8th,Other-service,40,<=50K
64,9th,Craft-repair,40,<=50K
32,12th,Craft-repair,40,<=50K
32,Some-college,Craft-repair,40,<=50K
43,Bachelors,Exec-managerial,50,>50K
27,HS-grad,Machine-op-inspct,40,>50K
28,Bachelors,Tech-support,33,<=50K
30,5th-6th,Machine-op-inspct,40,<=50K
27,Bachelors,Craft-repair,45,>50K
38,10th,Other-service,55,<=50K
39,Bachelors,Prof-specialty,45,>50K
45,Some-college,Tech-support,33,<=50K
63,1st-4th,Machine-op-inspct,40,<=50K
38,Doctorate,Prof-specialty,40,>50K
49,HS-grad,Craft-repair,40,<=50K
36,Doctorate,Prof-specialty,44,>50K
37,Masters,Exec-managerial,40,>50K
59,Masters,Craft-repair,40,<=50K
37,Bachelors,Adm-clerical,45,>50K
29,HS-grad,Machine-op-inspct,39,<=50K
31,Some-college,Tech-support,40,<=50K
65,HS-grad,Adm-clerical,40,>50K
33,Prof-school,Prof-specialty,50,>50K
27,HS-grad,Machine-op-inspct,39,<=50K
63,9th,Farming-fishing,40,<=50K
31,Bachelors,Exec-managerial,45,>50K
18,12th,Other-service,21,<=50K
40,Doctorate,Exec-managerial,50,>50K
31,Assoc-voc,Transport-moving,84,<=50K
60,10th,Other-service,40,<=50K
29,Prof-school,Prof-specialty,33,>50K
29,Bachelors,Exec-managerial,50,>50K
29,Some-college,Protective-serv,45,<=50K
33,12th,Other-service,56,<=50K
34,HS-grad,Machine-op-inspct,40,<=50K
18,HS-grad,Craft-repair,73,<=50K
47,Bachelors,Other-service,45,<=50K
31,HS-grad,Tech-support,72,<=50K
87,10th,Other-service,40,<=50K
24,11th,Machine-op-inspct,21,<=50K
32,Bachelors,Prof-specialty,46,>50K
21,HS-grad,Transport-moving,45,<=50K
36,HS-grad,Machine-op-inspct,40,<=50K
33,HS-grad,Exec-managerial,40,>50K
38,9th,Craft-repair,40,<=50K
28,Bachelors,Craft-repair,40,<=50K
82,Preschool,Machine-op-inspct,40,<=50K
31,HS-grad,Transport-moving,40,>50K
44,HS-grad,Craft-repair,40,>50K
47,10th,Other-service,40,<=50K
34,HS-grad,Exec-managerial,40,>50K
19,Some-college,Sales,40,<=50K
35,HS-grad,Machine-op-inspct,50,<=50K
40,HS-grad,Craft-repair,50,<=50K
36,HS-grad,Tech-support,40,<=50K
27,Some-college,Prof-specialty,26,<=50K
42,HS-grad,Other-service,27,<=50K
33,Bachelors,Prof-specialty,45,<=50K
21,Some-college,Machine-op-inspct,21,<=50K
61,HS-grad,Farming-fishing,41,<=50K
38,1st-4th,Other-service,40,<=50K
35,5th-6th,Farming-fishing,55,<=50K
73,Bachelors,Prof-specialty,49,<=50K
67,11th,Handlers-cleaners,19,<=50K
37,Bachelors,Prof-specialty,45,>50K
46,Some-college,Adm-clerical,31,<=50K
32,Doctorate,Prof-specialty,86,<=50K
49,Some-college,Exec-managerial,46,<=50K
30,9th,Transport-moving,30,<=50K
41,Some-college,Craft-repair,40,<=50K
37,HS-grad,Farming-fishing,45,<=50K
20,12th,Transport-moving,35,<=50K
49,HS-grad,Machine-op-inspct,40,<=50K
60,Bachelors,Sales,40,<=50K
27,HS-grad,Handlers-cleaners,40,<=50K
21,Some-college,Sales,33,<=50K
42,Bachelors,Sales,45,>50K
34,Assoc-acdm,Adm-clerical,40,<=50K
39,5th-6th,Handlers-cleaners,31,<=50K
37,HS-grad,Machine-op-inspct,40,<=50K
37,Bachelors,Sales,45,>50K
77,9th,Craft-repair,40,<=50K
23,5th-6th,Other-service,40,<=50K
57,11th,Prof-specialty,45,<=50K
33,HS-grad,Protective-serv,40,>50K
87,Some-college,Machine-op-inspct,40,<=50K
66,HS-grad,Craft-repair,33,<=50K
30,HS-grad,Machine-op-inspct,40,<=50K
28,Bachelors,Tech-support,39,<=50K
38,Assoc-voc,Exec-managerial,45,>50K
45,7th-8th,Handlers-cleaners,40,<=50K
33,HS-grad,Handlers-cleaners,40,<=50K
23,11th,Adm-clerical,40,<=50K
30,Bachelors,Adm-clerical,36,<=50K
43,HS-grad,Craft-repair,40,>50K
21,HS-grad,Sales,22,<=50K
53,Some-college,Sales,40,<=50K
31,Bachelors,Transport-moving,82,<=50K
28,HS-grad,Sales,40,<=50K
49,Bachelors,Tech-support,45,>50K
37,Bachelors,Exec-managerial,40,>50K
32,HS-grad,Priv-house-serv,57,<=50K
32,11th,Exec-managerial,59,<=50K
56,Bachelors,Prof-specialty,40,<=50K
20,HS-grad,Handlers-cleaners,21,<=50K
22,Bachelors,Prof-specialty,50,<=50K
48,Masters,Adm-clerical,40,<=50K
30,Some-college,Protective-serv,58,<=50K
36,HS-grad,Armed-Forces,33,<=50K
62,HS-grad,Machine-op-inspct,40,>50K
69,5th-6th,Handlers-cleaners,40,<=50K
34,HS-grad,Craft-repair,39,<=50K
58,Prof-school,Prof-specialty,40,>50K
28,Some-college,Machine-op-inspct,40,<=50K
27,HS-grad,Armed-Forces,40,<=50K
33,Some-college,Exec-managerial,40,<=50K
37,Assoc-voc,Craft-repair,40,<=50K
66,Some-college,Exec-managerial,40,<=50K
26,10th,Machine-op-inspct,16,<=50K
76,Assoc-acdm,Adm-clerical,18,<=50K
27,Bachelors,Craft-repair,57,<=50K
37,HS-grad,Handlers-cleaners,40,<=50K
30,Some-college,Adm-clerical,37,<=50K
48,Bachelors,Exec-managerial,45,>50K
63,Bachelors,Sales,35,<=50K
33,Bachelors,Armed-Forces,83,<=50K
52,Prof-school,Exec-managerial,50,>50K
39,7th-8th,Handlers-cleaners,40,<=50K
45,HS-grad,Adm-clerical,40,>50K
26,11th,Handlers-cleaners,40,<=50K
36,Assoc-voc,Tech-support,40,<=50K
51,7th-8th,Adm-clerical,45,<=50K
47,Masters,Exec-managerial,47,>50K
30,9th,Craft-repair,40,<=50K
26,12th,Farming-fishing,20,<=50K
43,9th,Craft-repair,40,<=50K
44,Some-college,Other-service,40,<=50K
28,Assoc-voc,Adm-clerical,40,<=50K
37,Bachelors,Exec-managerial,40,<=50K
34,12th,Craft-repair,40,<=50K
28,7th-8th,Craft-repair,41,<=50K
32,Some-college,Exec-managerial,40,>50K
33,Masters,Craft-repair,40,<=50K
40,HS-grad,Tech-support,47,<=50K
27,HS-grad,Craft-repair,40,<=50K
32,Bachelors,Exec-managerial,45,>50K
35,7th-8th,Craft-repair,40,<=50K
62,Masters,Adm-clerical,40,<=50K
33,Bachelors,Tech-support,40,>50K
29,11th,Tech-support,50,<=50K
37,HS-grad,Craft-repair,40,<=50K
25,Bachelors,Machine-op-inspct,29,>50K
59,HS-grad,Craft-repair,40,>50K
49,Bachelors,Prof-specialty,53,<=50K
45,Bachelors,Exec-managerial,40,>50K
32,HS-grad,Machine-op-inspct,40,>50K
26,Some-college,Sales,40,<=50K
20,Some-college,Handlers-cleaners,29,<=50K
40,10th,Sales,44,<=50K
48,Bachelors,Exec-managerial,22,>50K
31,Masters,Exec-managerial,40,>50K
29,7th-8th,Farming-fishing,35,<=50K
44,1st-4th,Other-service,40,<=50K
52,Some-college,Protective-serv,40,<=50K
45,HS-grad,Farming-fishing,57,<=50K
36,HS-grad,Craft-repair,40,<=50K
31,Bachelors,Adm-clerical,22,<=50K
31,Some-college,Machine-op-inspct,40,<=50K
52,5th-6th,Craft-repair,40,<=50K
53,Masters,Exec-managerial,38,>50K
34,Bachelors,Exec-managerial,50,>50K
21,Some-college,Craft-repair,40,<=50K
29,Assoc-acdm,Protective-serv,50,<=50K
56,HS-grad,Exec-managerial,39,>50K
55,HS-grad,Machine-op-inspct,88,>50K
51,HS-grad,Transport-moving,40,>50K
74,9th,Craft-repair,40,<=50K
29,HS-grad,Transport-moving,61,<=50K
46,Assoc-acdm,Adm-clerical,33,>50K
32,HS-grad,Transport-moving,40,<=50K
36,Assoc-voc,Tech-support,45,<=50K
47,HS-grad,Craft-repair,40,<=50K
24,9th,Farming-fishing,40,<=50K
52,Bachelors,Sales,45,<=50K
30,Assoc-voc,Craft-repair,39,<=50K
48,Some-college,Exec-managerial,40,>50K
29,HS-grad,Exec-managerial,50,>50K
28,Assoc-acdm,Exec-managerial,34,>50K
22,Some-college,Handlers-cleaners,35,<=50K
35,HS-grad,Craft-repair,40,<=50K
46,Prof-school,Prof-specialty,40,>50K
42,11th,Farming-fishing,81,<=50K
41,HS-grad,Machine-op-inspct,40,>50K
38,HS-grad,Adm-clerical,40,<=50K
75,HS-grad,Prof-specialty,32,<=50K
42,Bachelors,Exec-managerial,40,>50K
36,HS-grad,Craft-repair,40,>50K
57,Masters,Exec-managerial,40,>50K
30,Assoc-voc,Craft-repair,40,<=50K
70,Doctorate,Prof-specialty,40,<=50K
37,HS-grad,Exec-managerial,50,>50K
62,Some-college,Prof-specialty,45,<=50K
35,10th,Craft-repair,57,<=50K
62,Prof-school,Prof-specialty,50,>50K
43,5th-6th,Exec-managerial,40,<=50K
50,Some-college,Adm-clerical,40,<=50K
68,HS-grad,Machine-op-inspct,40,>50K
31,10th,Transport-moving,82,<=50K
55,HS-grad,Craft-repair,40,<=50K
48,Some-college,Sales,40,<=50K
32,10th,Craft-repair,40,<=50K
45,10th,Other-service,31,<=50K
34,Assoc-acdm,Tech-support,40,<=50K
24,Some-college,Handlers-cleaners,40,<=50K
50,Some-college,Prof-specialty,29,<=50K
27,HS-grad,Craft-repair,40,<=50K
58,HS-grad,Exec-managerial,41,>50K
62,HS-grad,Craft-repair,40,>50K
23,Some-college,Prof-specialty,29,<=50K
24,HS-grad,Handlers-cleaners,40,<=50K
39,HS-grad,Transport-moving,40,<=50K
20,Bachelors,Exec-managerial,38,<=50K
30,Prof-school,Prof-specialty,34,<=50K
51,Masters,Exec-managerial,40,<=50K
59,HS-grad,Craft-repair,40,<=50K
38,HS-grad,Craft-repair,50,>50K
47,Bachelors,Exec-managerial,40,>50K
44,Assoc-voc,Farming-fishing,50,<=50K
24,9th,Sales,40,<=50K
49,10th,Craft-repair,40,<=50K
48,Bachelors,Sales,67,<=50K
55,Bachelors,Prof-specialty,40,>50K
35,Bachelors,Prof-specialty,40,>50K
20,12th,Handlers-cleaners,40,<=50K
23,Some-college,Exec-managerial,28,<=50K
39,HS-grad,Farming-fishing,40,<=50K
35,7th-8th,Prof-specialty,31,<=50K
25,Bachelors,Exec-managerial,45,<=50K
31,HS-grad,Exec-managerial,32,<=50K
25,Some-college,Protective-serv,40,<=50K
28,Assoc-voc,Adm-clerical,40,<=50K
34,Masters,Exec-managerial,61,>50K
36,Some-college,Protective-serv,40,<=50K
55,Some-college,Protective-serv,40,<=50K
46,Assoc-acdm,Other-service,57,<=50K
66,Bachelors,Tech-support,39,>50K
20,12th,Craft-repair,29,<=50K
34,HS-grad,Craft-repair,40,>50K
44,7th-8th,Handlers-cleaners,38,<=50K
29,HS-grad,Machine-op-inspct,40,<=50K
36,HS-grad,Farming-fishing,33,<=50K
86,10th,Transport-moving,40,<=50K
80,HS-grad,Tech-support,40,<=50K
39,Assoc-voc,Exec-managerial,40,<=50K
29,Some-college,Prof-specialty,45,<=50K
56,Bachelors,Exec-managerial,40,>50K
64,Masters,Exec-managerial,40,>50K
50,Bachelors,Prof-specialty,26,<=50K
38,Masters,Exec-managerial,40,<=50K
25,HS-grad,Machine-op-inspct,31,<=50K
24,HS-grad,Tech-support,40,<=50K
51,HS-grad,Sales,60,>50K
28,Masters,Prof-specialty,40,<=50K
23,Some-college,Sales,38,<=50K
68,1st-4th,Priv-house-serv,38,<=50K
71,11th,Transport-moving,40,<=50K
78,9th,Handlers-cleaners,40,<=50K
48,Doctorate,Prof-specialty,45,<=50K
34,HS-grad,Exec-managerial,40,>50K
62,9th,Farming-fishing,61,<=50K
29,Masters,Prof-specialty,36,<=50K
26,Assoc-voc,Craft-repair,40,<=50K
77,Doctorate,Prof-specialty,40,<=50K
53,HS-grad,Exec-managerial,43,>50K
46,Prof-school,Prof-specialty,34,<=50K
46,HS-grad,Protective-serv,43,<=50K
20,Some-college,Machine-op-inspct,40,<=50K
38,Prof-school,Prof-specialty,40,>50K
48,Preschool,Priv-house-serv,50,<=50K
85,7th-8th,Machine-op-inspct,40,<=50K
46,Assoc-voc,Prof-specialty,40,<=50K
44,Masters,Exec-managerial,40,<=50K
49,9th,Craft-repair,40,<=50K
19,5th-6th,Handlers-cleaners,20,<=50K
43,HS-grad,Sales,40,<=50K
29,Bachelors,Tech-support,50,<=50K
27,Masters,Exec-managerial,40,<=50K
28,Assoc-acdm,Sales,27,<=50K
48,HS-grad,Sales,39,<=50K
36,HS-grad,Sales,50,>50K
29,Bachelors,Tech-support,35,<=50K
46,Prof-school,Prof-specialty,45,<=50K
25,Bachelors,Prof-specialty,45,<=50K
36,Some-college,Machine-op-inspct,38,<=50K
53,Bachelors,Exec-managerial,50,>50K
34,HS-grad,Adm-clerical,40,<=50K
44,HS-grad,Adm-clerical,42,<=50K
22,Some-college,Other-service,21,<=50K
57,Bachelors,Tech-support,50,<=50K
38,Doctorate,Prof-specialty,83,>50K
51,HS-grad,Farming-fishing,40,<=50K
42,Doctorate,Prof-specialty,50,>50K
21,Some-college,Tech-support,29,<=50K
27,Bachelors,Craft-repair,50,<=50K
53,Masters,Prof-specialty,40,<=50K
36,HS-grad,Craft-repair,40,<=50K
56,1st-4th,Craft-repair,40,<=50K
60,HS-grad,Adm-clerical,42,<=50K
32,Masters,Prof-specialty,38,>50K
35,HS-grad,Sales,40,<=50K
27,Bachelors,Sales,46,<=50K
35,11th,Craft-repair,28,<=50K
23,Some-college,Machine-op-inspct,40,<=50K
52,HS-grad,Adm-clerical,45,>50K
23,Some-college,Sales,40,<=50K
41,HS-grad,Priv-house-serv,26,<=50K
19,11th,Transport-moving,40,<=50K
35,Masters,Other-service,40,<=50K
35,HS-grad,Craft-repair,40,>50K
37,11th,Craft-repair,40,<=50K
46,HS-grad,Tech-support,40,>50K
25,Some-college,Exec-managerial,40,<=50K
32,HS-grad,Sales,59,<=50K
46,Bachelors,Tech-support,26,>50K
34,Bachelors,Exec-managerial,45,>50K
50,HS-grad,Exec-managerial,38,>50K
20,HS-grad,Transport-moving,20,<=50K
60,9th,Craft-repair,42,<=50K
31,Prof-school,Prof-specialty,12,<=50K
24,Some-college,Handlers-cleaners,40,<=50K
61,HS-grad,Farming-fishing,50,<=50K
28,HS-grad,Handlers-cleaners,40,<=50K
52,HS-grad,Craft-repair,40,>50K
38,Bachelors,Farming-fishing,50,<=50K
38,HS-grad,Transport-moving,50,<=50K
25,HS-grad,Handlers-cleaners,45,<=50K
25,Bachelors,Prof-specialty,27,<=50K
37,11th,Craft-repair,40,<=50K
42,5th-6th,Machine-op-inspct,40,<=50K
26,Bachelors,Prof-specialty,45,>50K
21,Bachelors,Prof-specialty,45,>50K
20,Some-college,Adm-clerical,14,<=50K
45,11th,Transport-moving,40,<=50K
36,HS-grad,Sales,40,<=50K
26,10th,Other-service,40,<=50K
38,Bachelors,Exec-managerial,50,>50K
32,HS-grad,Exec-managerial,55,>50K
22,HS-grad,Other-service,30,<=50K
66,10th,Priv-house-serv,40,<=50K
50,Masters,Exec-managerial,50,<=50K
29,Assoc-voc,Tech-support,70,<=50K
51,Assoc-acdm,Prof-specialty,56,<=50K
65,7th-8th,Craft-repair,71,<=50K
34,9th,Craft-repair,40,<=50K
42,HS-grad,Machine-op-inspct,40,<=50K
38,HS-grad,Exec-managerial,40,<=50K
31,Bachelors,Protective-serv,50,<=50K
39,Masters,Prof-specialty,40,<=50K
31,HS-grad,Sales,40,<=50K
36,HS-grad,Machine-op-inspct,40,<=50K
62,7th-8th,Transport-moving,45,<=50K
32,Assoc-acdm,Protective-serv,40,>50K
58,HS-grad,Exec-managerial,50,>50K
45,HS-grad,Craft-repair,40,<=50K
31,HS-grad,Craft-repair,40,<=50K
29,Bachelors,Exec-managerial,50,>50K
21,HS-grad,Transport-moving,84,<=50K
51,Masters,Adm-clerical,58,>50K
27,10th,Priv-house-serv,40,<=50K
60,5th-6th,Farming-fishing,40,<=50K
48,Bachelors,Exec-managerial,50,>50K
20,Some-college,Machine-op-inspct,21,<=50K
42,9th,Craft-repair,42,<=50K
35,HS-grad,Other-service,40,<=50K
33,9th,Transport-moving,42,<=50K
29,Bachelors,Exec-managerial,40,>50K
30,9th,Handlers-cleaners,40,<=50K
32,Masters,Adm-clerical,40,<=50K
43,Masters,Exec-managerial,50,>50K
50,Doctorate,Prof-specialty,33,<=50K
32,1st-4th,Craft-repair,45,<=50K
21,Bachelors,Sales,45,>50K
46,Some-college,Craft-repair,45,<=50K
24,Doctorate,Prof-specialty,40,>50K
29,Some-college,Sales,32,<=50K
58,Masters,Prof-specialty,40,>50K
73,Some-college,Protective-serv,40,<=50K
50,Some-college,Adm-clerical,40,<=50K
36,Assoc-voc,Other-service,38,<=50K
25,5th-6th,Craft-repair,40,<=50K
27,Bachelors,Tech-support,46,<=50K
42,Masters,Prof-specialty,40,<=50K
60,HS-grad,Exec-managerial,40,>50K
65,9th,Craft-repair,19,<=50K
66,1st-4th,Prof-specialty,39,<=50K
23,12th,Transport-moving,40,<=50K
34,HS-grad,Farming-fishing,40,<=50K
23,11th,Handlers-cleaners,60,<=50K
35,Doctorate,Prof-specialty,40,<=50K
66,Assoc-acdm,Craft-repair,45,>50K
35,HS-grad,Exec-managerial,50,>50K
44,12th,Craft-repair,40,<=50K
38,11th,Sales,45,<=50K
54,HS-grad,Sales,62,<=50K
25,HS-grad,Craft-repair,61,<=50K
23,12th,Handlers-cleaners,20,<=50K
47,1st-4th,Other-service,35,<=50K
23,1st-4th,Craft-repair,40,<=50K
40,7th-8th,Craft-repair,40,<=50K
22,HS-grad,Handlers-cleaners,58,<=50K
65,Doctorate,Prof-specialty,49,>50K
27,HS-grad,Farming-fishing,37,<=50K
28,11th,Tech-support,87,<=50K
69,Bachelors,Sales,45,>50K
59,9th,Other-service,11,<=50K
45,HS-grad,Machine-op-inspct,40,<=50K
44,Some-college,Transport-moving,32,<=50K
19,HS-grad,Handlers-cleaners,40,<=50K
38,Bachelors,Handlers-cleaners,50,<=50K
27,Bachelors,Prof-specialty,39,<=50K
52,Assoc-voc,Exec-managerial,40,<=50K
26,Bachelors,Exec-managerial,41,>50K
65,HS-grad,Sales,40,>50K
53,HS-grad,Sales,45,>50K
26,Assoc-voc,Craft-repair,48,<=50K
44,HS-grad,Craft-repair,58,<=50K
49,7th-8th,Craft-repair,33,<=50K
40,7th-8th,Craft-repair,40,<=50K
64,Doctorate,Exec-managerial,40,>50K
43,HS-grad,Exec-managerial,60,>50K
39,Preschool,Craft-repair,40,<=50K
52,HS-grad,Exec-managerial,42,>50K
27,Some-college,Handlers-cleaners,39,<=50K
26,10th,Other-service,40,<=50K
32,11th,Craft-repair,40,<=50K
26,12th,Handlers-cleaners,32,<=50K
43,Some-college,Prof-specialty,40,<=50K
19,12th,Transport-moving,40,<=50K
73,HS-grad,Exec-managerial,40,<=50K
40,11th,Farming-fishing,58,<=50K
30,12th,Handlers-cleaners,40,<=50K
42,Some-college,Other-service,38,<=50K
38,HS-grad,Priv-house-serv,40,<=50K
25,Bachelors,Protective-serv,57,>50K
26,Some-college,Other-service,39,<=50K
39,Bachelors,Prof-specialty,45,>50K
22,HS-grad,Protective-serv,40,<=50K
38,5th-6th,Handlers-cleaners,40,<=50K
26,9th,Craft-repair,40,<=50K
20,Some-college,Handlers-cleaners,21,<=50K
54,HS-grad,Exec-managerial,50,>50K
37,Some-college,Prof-specialty,36,<=50K
45,Assoc-acdm,Adm-clerical,28,<=50K
27,Masters,Machine-op-inspct,40,<=50K
23,Assoc-acdm,Tech-support,40,>50K
